UPC,TITLE,Category ID,Category Name,Master Product ID,ACTIVE_CAT_ID_LIST,SITE_PRODUCT_TYPE,ITEM_QTY,NETNET_MERCH_AMT,BRAND,ITEM_GROUP_ID
32677682326,"Vera Wang Wedgwood ""Blanc Sur Blanc"" Oval Platter, 15""",3865,Home,23580,1065864,SERVEWARE,1,234.13,VERA WANG                          ,23680
91574070018,"Vera Wang Wedgwood ""Blanc Sur Blanc"" All Purpose Bowl, 6.0""",3865,Home,23580,"8315, 1005746, 1065864",SERVEWARE,6,358.68,VERA WANG                          ,95599
32677682395,"Vera Wang Wedgwood ""Blanc Sur Blanc"" Covered Vegetable Bowl",3865,Home,23580,1065864,SERVEWARE,1,315,VERA WANG                          ,23683
32677719800,"Vera Wang Wedgwood ""Blanc Sur Blanc"" 5 Piece Place Setting",3865,Home,23580,"3864, 6466, 1000306, 1003024, 1004848, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,3,297,VERA WANG                          ,23691
24258307872,Waterford Crystal Kilbarry Platinum 5-Piece Place Setting,3865,Home,25389,"3864, 6466, 1000231, 1000306, 1003024, 1004848, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,1,110,WATERFORD                          ,25974
24258307872,Waterford Crystal Kilbarry Platinum 5-Piece Place Setting,3865,Home,25389,"3864, 6466, 1000231, 1000306, 1003024, 1004848, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,1,110,WATERFORD                          ,25974
24258307889,Waterford Crystal Kilbarry Platinum Dinner Plate,3865,Home,25389,"1005730, 1065864",DINNERWARE,6,198,WATERFORD                          ,71275
32677810897,Vera Wang For Wedgwood Grosgrain Rim Soup Plate,3865,Home,27553,1065864,DINNERWARE,12,986.04,VERA WANG                          ,28472
32677811030,Vera Wang For Wedgwood Grosgrain 5-Piece Place Setting,3865,Home,27553,"3864, 6466, 1000231, 1000306, 1003024, 1004848, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,1,99,VERA WANG                          ,28460
32677811030,Vera Wang For Wedgwood Grosgrain 5-Piece Place Setting,3865,Home,27553,"3864, 6466, 1000231, 1000306, 1003024, 1004848, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,1,99,VERA WANG                          ,28460
24258324077,Waterford Crystal Newgrange Platinum 5 Piece Place Setting,3865,Home,27561,"3864, 6466, 1000231, 1000306, 1003024, 1004848, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,3,222.75,WATERFORD                          ,28117
24258324077,Waterford Crystal Newgrange Platinum 5 Piece Place Setting,3865,Home,27561,"3864, 6466, 1000231, 1000306, 1003024, 1004848, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,1,74.25,WATERFORD                          ,28117
24258324077,Waterford Crystal Newgrange Platinum 5 Piece Place Setting,3865,Home,27561,"3864, 6466, 1000231, 1000306, 1003024, 1004848, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,4,297,WATERFORD                          ,28117
24258324077,Waterford Crystal Newgrange Platinum 5 Piece Place Setting,3865,Home,27561,"3864, 6466, 1000231, 1000306, 1003024, 1004848, 1005468, 1005725, 1006841, 1006940, 1065864",DINNERWARE,2,198,WATERFORD                          ,28117
11644611224,"All Clad Copper Core 12"" Fry Pan",3865,Home,28738,"6466, 8148, 1000237, 1005817, 1006386, 1006802, 1006841, 1006896, 1017462, 1039383, 1065861",COOKWARE,1,264.02,ALL-CLAD METALCRAFT                ,24949
